ABX Air;ABX;ABEX; Estados Unidos
SAS - Scandinavian Airlines System;SAS;SCANDANAVIAN; Suecia
SAS Braathens;CNO;SCANOR; Noruega
Air Schefferville;ASF;SCHEFF; Canada
Isles of Scilly Skybus;IOS;SCILLONIA; Reino Unido
Benair Norway;HAX;SCOOP; Noruega
Euroscot Express;EUJ;SCOTAIR; Reino Unido
Waglisla Air;SEH;SEA HAWK; Canada
Searca;SRC;SEARCA; Colombia
Sierra National Airlines;SLA;SELAIR; Sierra Leona
Air Seychelles;SEY;SEYCHELLES; Seychelles
Aer Lingus;EIN;SHAMROCK; Irlanda
Air South;SHW;SHAWNEE; Estados Unidos
Baron Aviation Services;BVN;SHOW-ME; Estados Unidos
British Airways Shuttle Flights;SHT;SHUTTLE; Reino Unido
Sichuan Airlines;CSC;SI CHUAN; China
Silverjet;SLR;SILVERJET; Reino Unido
East West European;EWE;SILVER WING; Bulgaria
Singapore Airlines;SIA;SINGAPORE; Singapur
University of North Dakota;NDU;SIOUX; Estados Unidos
Trans Air Link;GJB;SKY TRUCK; Estados Unidos
Skybus;SKB;SKYBUS; Estados Unidos
Skywork Airlines;SRK;SKYFOX; Suiza
Air Foyle;AFY;SKYMAN; Reino Unido
Skymark Airlines;SKY;SKYMARK; Japon
MSR Flug Charter;EBF;SKYRUNNER; Alemania
Sky Express;SXR;SKYSTORM; Rusia
Skyservice;SSV;SKYTOUR; Canada
Skyway Airlines;SYX;SKYWAY-EX; Estados Unidos
SkyWest Airlines;SKW;SKYWEST; Estados Unidos
Pacific Southwest Airlines;PSX;SMILEY; Estados Unidos
Air Traffic Gmbh;ATJ;SNOOPY; Alemania
Solomon Airlines;SOL;SOLOMON; Islas Salomon
Air Senegal;DSB;SONATRA AIR SENEGAL; Senegal
Sky King Inc (Charters);SGB;SONGBIRD; Estados Unidos
Southern Air;SOO;SOUTHERN AIR; Estados Unidos
Southwest Airlines;SWA;SOUTHWEST; Estados Unidos
Spanair;JKK;SPANAIR; Espana
Spantax;BXS;SPANTAX; Espana
Eastern Flying Service;SPR;SPEEDAIR; Canada
British Airways;BAW;SPEEDBIRD; Reino Unido
Jetair APS;FOX;SPEEDFOX; Dinamarca
Dba - Deutsche BA;BAG;SPEEDWAY; Alemania
Superior Aviation;HKA;SPEND AIR; Estados Unidos
Spicejet;MOD;SPICEJET; India
Spirit Airlines;NKS;SPIRIT WINGS; Estados Unidos
Springdale Air Service;SPG;SPRING AIR; Estados Unidos
South African Airways;SAA;SPRINGBOK; Sudafrica
SriLankan Airlines;ALK;SRILANKAN; Sri Lanka
Sedalia, Marshall, Booneville Stage Line;STG;STAGE; Estados Unidos
US Check Airlines;USC;STAR CHECK; Estados Unidos
Swedline Express;SRL;STARLINE; Suecia
Star Europe Airlines;SEU;STARWAY; Francia
European Air Express;EAE;STARWING; Alemania
Sterling European Airlines;SNB;STERLING; Dinamarca
Stevens V Airlines;STV;STEVENS; Alemania
Eastwind Airlines;BBE;STINGER BEE; Estados Unidos
Suburban Air Freight;SUB;SUB AIR; Estados Unidos
ScotAirways;SAY;SUCKLING; Reino Unido
Sun Country Airlines;SCX;SUN COUNTRY; Estados Unidos
Sunaire;SUA;SUNBIRD; Estados Unidos
Sunwest Airlines;SST;SUNFLIGHT; Canada
Aero Aviation Centre;AAD;SUNRISE; Canada
Sun-Air;SUS;SUNSCAN; Dinamarca
Pegasus Airlines;PGT;SUNTURK; Turquia
Sunwing Airlines;SWG;SUNWING; Canada
Lineas Aereas Suramericanas;LAU;SURAMERICANO; Colombia
Surrey & Kent Flying Club;SUR;SURREY; Reino Unido
Air Southwest;WOW;SWALLOW; Reino Unido
Helikopterservice Euro Air;SCO;SWEDCOPTER; Suecia
Swedish Airlines;CFL;SWEDISH; Suecia
Viking Airlines;VIK;SWEDJET; Suecia
Linjeflyg;LIN;SWEDLINE; Suecia
Swiftair;SWT;SWIFT; Espana
Swiss International Air Lines;SWR;SWISS; Suiza
Swiss Air Ambulance;SAZ;SWISS AMBULANCE; Suiza
Eagle Air;EAB;SWISS EAGLE; Suiza
Servair;SWZ;SWISSBIRD; Suiza
Syrian Arab Airlines;SYR;SYRIANAIR; Siria
TACA International Airlines;TAI;TACA; El Salvador
Air Tahiti Nui;THT;TAHITI AIRLINES;Plantilla:Geodatos polinesia francesa Polinesia Francesa
Air Tahoma;HMA;TAHOMA; Estados Unidos
TAM Linhas Aereas;TAM;TAM; Brasil
Tampa Cargo;TPA;TAMPA; Colombia
Transportes Aereos Neuquen;NQN;TANEU; Argentina
Trans Mediterranean Airways;TMA;TANGO LIMA; Libano
Air Tanzania;ATC;TANZANIA; Tanzania
Tarom;ROT;TAROM; Rumania
Teddy Air;TED;TEDDYS; Noruega
Tower Air;TOW;TEE AIR; Estados Unidos
North British Airlines;NBN;TEESAIR; Reino Unido
NWT Air;NWT;TERRITORIAL; Canada
Thai Airways International;THA;THAI; Tailandia
Thailand AirAsia;AIQ;THAI ASIA; Tailandia
Viking Express;WCY;TITAN AIR; Estados Unidos
Cologne Commercial Flight (CCF) Manager Airline;CCF;TOMCAT; Alemania
Thomsonfly;TOM;TOMSON; Reino Unido
EasyJet Switzerland;EZS;TOPSWISS; Suiza
Tradewinds Airlines;TDX;TRADEWINDS EXPRESS; Estados Unidos
TACA Peru;TPU;TRANS PERU; Peru
Aeromar Airlines;TAO;TRANS-AEROMAR; Mexico
Air Transat;TSC;TRANSAT; Canada
Transavia;TRA;TRANSAVIA; Paises Bajos
Trans Continental Airlines;TCN;TRANSCON; Estados Unidos
Transmeridian Airlines;TRZ;TRANS-MERIDIAN; Estados Unidos
Transaero Airlines;TSO;TRANSOVIET; Rusia
Rex Aviation;TNZ;TRANZAIR; Nueva Zelanda
Atlantic Island Air;TRG;TRIANGLE; Islandia
Tropic Air;TOS;TROPISER; Belice
Trump Shuttle;TPS;TRUMP; Estados Unidos
Pacific Wings;NMI;TSUNAMI; Estados Unidos
Tunisair;TAR;TUNAIR; Tunez
AJT Air International;TRJ;TURJET; Rusia
Turkish Airlines;THY;TURKISH; Turquia
Trans World Airlines;TWA;TWA; Estados Unidos
Air-taxi europe;TWG;TWIN GOOSE; Alemania
Tyrolean Airways;TYR;TYROLEAN; Austria
Inter-Island Air;UGL;UGLY VAN; Estados Unidos
Ukraine International Airlines;AUI;UKRAINE INTERNATIONAL; Ucrania
Myanma Airways;UBA;UNIONAIR; Birmania
United Air Charters;UAC;UNITAIR; Zimbabue
United Airlines;UAL;UNITED; Estados Unidos
Alliance Airlines;UTY;UNITY; Australia
United Parcel Service;UPS;UPS; Estados Unidos
US Airways;USA;US AIR; Estados Unidos
Uzbekistan Airways;UZB;UZBEK; Uzbekistan
Vanguard Airlines;VGD;VANGUARD AIR; Estados Unidos
Varig;VRG;VARGI; Brasil
V Bird Airlines;VBA;VEEBEE; Paises Bajos
Warbelow's Air Ventures;VNA;VENTAIRE; Estados Unidos
Air Via Bulgarian Airways;VIM;VIA AIRWAYS; Bulgaria
VIAJA AIRLINES;VAS;VIAJA AIRLINES; Colombia
Vietnam Airlines;HVN;VIETNAM AIRLINES; Vietnam
Vintage Props & Jets;VPP;VINTAGE; Estados Unidos
Virgin Atlantic Airways;VIR;VIRGIN; Reino Unido
Virgin Blue;VOZ;VIRGIN; Australia
Virgin Express;VEX;VIRGIN EXPRESS; Belgica
Volaris;VOI;VOLARIS; Mexico
Volga-Dnepr;VDA;VOLGA-DNEPR; Rusia
Vueling Airlines;VLG;VUELING; Espana
Indonesia Air Asia;AWQ;WAGON AIR; Indonesia
Wardair;WDA;WARDAIR; Canada
Morris Air;MSS;WASATCH; Estados Unidos
Virgin Islands Seaplane Shuttle;VSS;WATERBIRD; Estados Unidos
Trans States Airlines;LOF;WATERSKI; Estados Unidos
Sports Air Travel;WCC;WEST COAST; Estados Unidos
Western Airlines;WAL;WESTERN; Estados Unidos
WestJet;WJA;WESTJET; Canada
Western Pacific Airservice;WPA;WESTPAC; Islas Salomon
West Wind Aviation;WEW;WESTWIND; Canada
Canadian Helicopters;WSR;WHISTLER; Canada
Primaris Airlines;WCP;WHITECAP; Estados Unidos
Star Air;SRR;WHITESTAR; Dinamarca
Wideroe;WIF;WIDEROE; Noruega
Britannia Airways GmbH;DBY;WINDSOR; Alemania
Chicago Express;CGO;WINDCITY; Estados Unidos
Flugdienst Fehlhaber;FFG;WITCHCRAFT; Alemania
Wizz Air;WZZ;WIZZAIR; Polonia
Woodgate Air Services;WOD;WOODAIR; Reino Unido
World Airways;WOA;WORLD; Estados Unidos
Worldways Canada;WWC;WORLDWAYS CANADA; Canada
Centennial Airlines;CNL;WYO AIR; Estados Unidos
Hapag-Lloyd Express (TUIfly);HLX;YELLOW CAB; Alemania
Yemenia-Yemen Airways;IYE;YEMENI; Yemen
Young Flying Service;YFS;YOUNG AIR; Estados Unidos
Northern Air Cargo;NAC;YUKON; Estados Unidos
Air Charter Services;CHR;ZAIRE CHARTER; Rep. Dem. del Congo
Titan Airways;AWC;ZAP; Reino Unido
African Safari Airways;QSC;ZEBRA; Kenia
Zoom Airways;ZAW;ZED AIR; Banglades
Zip Air;WZP;ZIPPER; Canada
Zoom Airlines;OOM;ZOOM; Canada
